"Teams","Pts","FGM2","FGA2","FGM3","FGA3","FTM","FTA","Tmp","TO","OR","OppPts","OppDefReb","AST"
"Anadolu Efes IstanbulIST",174,35,57,25,58,29,34,"400:00",21,14,150,41,38
"CSKA MoscowCSK",176,45,83,18,50,32,41,"400:00",23,28,160,47,32
"FC Barcelona LassaBAR",213,63,126,24,66,15,23,"600:00",36,42,227,63,50
"Fenerbahce Beko IstanbulULK",165,33,56,25,56,24,28,"400:00",22,18,139,36,37
"KIROLBET Baskonia Vitoria-GasteizBAS",146,38,66,17,53,19,26,"400:00",31,19,162,47,33
"Panathinaikos OPAP AthensPAN",135,35,87,16,40,17,23,"400:00",27,17,153,61,25
"Real MadridMAD",89,22,32,10,30,15,21,"200:00",11,10,82,18,22
"Zalgiris KaunasZAL",125,37,65,9,33,24,34,"400:00",37,15,156,41,23
