"Player","Games","Min","Ast.To","PPS","DRTG","ORTG","NRTG","TS.","USG.","ORB.","DRB.","TRB.","FGA","FGA2","FGA3","FGM2","FGM3","StlPer","AstPer","eFGPer","FloorPer","Season","Team"
"ULANOVAS, EDGARAS",30,"731:37",1.15,1.46,119.08,116.96,-2.12,0.61,15.83,6.9,10.54,8.7,159,117,42,60,16,0.74,10.45,52.83,53.91,"2016-2017","Zalgiris Kaunas"
"0",0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0"
"WESTERMANN, LEO",30,"755:21",2.32,1.19,117.59,109.29,-8.3,0.55,19.82,2.51,13.79,8.09,207,114,93,56,32,1.27,37.92,50.24,47.68,"2016-2017","Zalgiris Kaunas"
"ARAR, EGE",10,"114:52",0.8,0.96,113.74,99.72,-14.02,0.46,12.67,11.44,19.26,15.4,23,23,1,10,0,1.51,5.46,43.48,47.52,"2016-2017","Galatasaray Odeabank Istanbul"
"DAYE, AUSTIN",25,"462:40",0.96,1.3,116.06,108.35,-7.71,0.59,23.1,2.32,16.35,9.43,167,94,73,41,33,1.5,9.95,54.19,46.29,"2016-2017","Galatasaray Odeabank Istanbul"
"DENTMON, JUSTIN",8,"163:16",2.57,1.29,119.52,117.61,-1.91,0.59,27.94,1.46,5.7,3.61,76,31,45,15,18,2.12,21.1,55.26,49.07,"2016-2017","Galatasaray Odeabank Istanbul"
"DIEBLER, JON",29,"550:57",2,1.56,119.6,129.95,10.35,0.73,13.84,1.95,9.51,5.78,121,30,91,12,49,1.57,12.42,70.66,50.2,"2016-2017","Galatasaray Odeabank Istanbul"
"FITIPALDO , BRUNO",16,"225:12",1.73,1.32,123.89,106.61,-17.28,0.6,20.85,0.53,1.55,1.05,65,27,38,13,16,1.03,28.32,56.92,44.34,"2016-2017","Galatasaray Odeabank Istanbul"
"GULER, SINAN",30,"871:29",2.43,1.05,116.26,102.31,-13.95,0.5,22.34,1.51,9.88,5.75,300,171,129,78,44,2.65,32.98,48,44.74,"2016-2017","Galatasaray Odeabank Istanbul"
"0",0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0"
"KOKSAL, GOKSENIN",28,"406:53",1,1.03,121.77,91.54,-30.23,0.47,15.59,5.29,4.86,5.07,94,57,37,21,15,1.42,8.89,46.28,40.53,"2016-2017","Galatasaray Odeabank Istanbul"
"0",0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0"
"MICOV, VLADIMIR",29,"845:12",1.41,1.18,118.36,104.02,-14.34,0.55,20.75,2.4,11.98,7.26,276,151,125,62,54,1.64,13.9,51.81,44.48,"2016-2017","Galatasaray Odeabank Istanbul"
"PLEISS, TIBOR",28,"479:28",0.57,1.39,113.77,116.88,3.11,0.61,21.07,11.71,20.15,15.99,155,150,5,85,2,0.6,4.99,56.77,57.7,"2016-2017","Galatasaray Odeabank Istanbul"
"PRELDZIC, EMIR",18,"292:06",3.82,1.12,113.88,114.2,0.32,0.51,17.49,4.91,12.75,8.88,82,43,39,17,15,3.56,23.38,48.17,49.6,"2016-2017","Galatasaray Odeabank Istanbul"
"SCHILB, BLAKE",27,"689:52",2.55,1.2,118.08,114.82,-3.26,0.57,19.08,4.85,12.82,8.89,209,138,71,82,22,1.59,27.03,55.02,51.67,"2016-2017","Galatasaray Odeabank Istanbul"
"0",0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0"
"THOMPSON, DEON",13,"151:02",1.5,1.15,114.4,108.38,-6.02,0.52,19.64,9.49,11.56,10.54,48,48,1,24,0,2.68,10.53,50,53.97,"2016-2017","Galatasaray Odeabank Istanbul"
"TYUS, ALEX",30,"589:36",0.39,1.59,110.49,119.05,8.56,0.67,21.84,10.34,20.73,15.6,189,188,1,129,0,1.86,4.36,68.25,60.97,"2016-2017","Galatasaray Odeabank Istanbul"
"ANDUSIC, DANILO",8,"121:03",1,1.11,116.89,95.7,-21.19,0.49,20.38,3.01,8.2,5.57,36,17,19,7,6,1.88,11.66,44.44,42.26,"2016-2017","Unics Kazan"
"ANTIPOV, PAVEL",28,"524:13",2.11,1.42,116.04,135.47,19.43,0.67,12.25,4.16,8.76,6.44,112,37,75,18,38,1.95,6.39,66.96,54.01,"2016-2017","Unics Kazan"
"BANIC, MARKO",24,"322:23",0.58,1.34,117.82,118.7,0.88,0.63,15.65,6.4,8.86,7.61,83,83,1,51,0,1.06,4.21,61.45,58.76,"2016-2017","Unics Kazan"
"CLARKE, COTY",14,"305:03",0.89,1.12,113.48,96.96,-16.52,0.5,17.43,4.77,19.12,11.87,77,56,21,22,8,1.49,9.68,44.16,44.06,"2016-2017","Unics Kazan"
"COLOM, QUINO",25,"670:13",2.25,1.23,116.61,108.83,-7.78,0.53,24.76,4.16,13.89,8.97,229,130,99,58,33,1.19,39.35,46.94,48.82,"2016-2017","Unics Kazan"
"JOHNSON, ORLANDO",15,"251:25",0.35,1.23,116.68,98.46,-18.22,0.55,24.74,2.89,13.33,8.05,93,53,40,24,16,0.9,5.4,51.61,43.29,"2016-2017","Unics Kazan"
"KAIMAKOGLOU, KOSTAS",19,"438:20",1.27,1.05,115.66,95.49,-20.17,0.49,13.04,2.77,15.57,9.1,85,43,42,21,12,1.17,10.66,45.88,42.07,"2016-2017","Unics Kazan"
"0",0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0"
"0",0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0"
"LANGFORD, KEITH",28,"952:47",1.53,1.3,117.49,111.42,-6.07,0.54,33.24,2.55,9.9,6.18,470,313,157,135,57,1.25,23.09,46.91,51,"2016-2017","Unics Kazan"
"PANIN, VADIM",26,"473:43",0.96,1.21,115.95,97.79,-18.16,0.58,9.56,2.82,11,6.86,63,15,48,9,18,1.8,7.87,57.14,39.41,"2016-2017","Unics Kazan"
"PARAKHOUSKI, ARTSIOM",29,"618:22",0.46,1.51,113.44,130.13,16.69,0.66,22.3,14.71,14.85,14.78,216,216,1,134,0,0.92,3.89,62.04,64.89,"2016-2017","Unics Kazan"
"PONKRASHOV, ANTON",10,"203:01",1.41,1.03,113.39,89.06,-24.33,0.5,22.8,1.79,11,6.35,62,40,22,17,9,3.08,34.27,49.19,39.19,"2016-2017","Unics Kazan"
"STOLL, PAUL",14,"221:05",2.24,1.04,111.89,101.75,-10.14,0.49,15.89,3.84,11.79,7.77,49,12,37,3,13,3.59,28.56,45.92,41.16,"2016-2017","Unics Kazan"
"VORONOV, EVGENY",23,"349:59",0.57,0.94,113.82,78.63,-35.19,0.43,14.79,2.43,8.16,5.26,72,46,26,20,5,3.08,6.16,38.19,36.88,"2016-2017","Unics Kazan"
"WILLIAMS, LATAVIOUS",30,"519:53",0.64,1.41,112.77,121.86,9.09,0.62,18.69,14.93,21.01,17.94,148,147,1,88,0,1.09,6.09,59.46,60.72,"2016-2017","Unics Kazan"
"ALDEMIR, FURKAN",30,"291:37",0.88,1.02,112.1,101.55,-10.55,0.41,11.47,13.02,17.13,14.98,48,48,1,18,0,0.39,3.85,37.5,52.01,"2016-2017","Darussafaka Dogus Istanbul"
"ANDERSON, JAMES",34,"764:01",1.29,1.09,111.97,105.92,-6.05,0.51,22.02,3.95,15.15,9.3,285,149,136,69,47,1.49,11.06,48.95,46.24,"2016-2017","Darussafaka Dogus Istanbul"
"0",0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0"
"BATUK, BIRKAN",32,"400",1.5,1.07,113.98,112.01,-1.97,0.49,11.63,6.31,8.99,7.59,81,24,57,13,17,1.68,4.83,47.53,47.49,"2016-2017","Darussafaka Dogus Istanbul"
"BERTANS, DAIRIS",32,"514:12",1.75,1.51,118.47,124.66,6.19,0.64,17.65,1.74,3.08,2.38,136,70,66,30,33,0.67,14.53,58.46,53.24,"2016-2017","Darussafaka Dogus Istanbul"
"CLYBURN, WILL",34,"957:37",0.9,1.14,111.76,103.92,-7.84,0.5,25.34,5.95,15.65,10.59,389,306,83,143,24,1.73,9.01,46.02,50.27,"2016-2017","Darussafaka Dogus Istanbul"
"ERDEN, SEMIH",10,"147:27",0.44,1.21,111.21,82.06,-29.15,0.44,18.15,5.3,19.83,12.25,33,32,1,16,0,0.39,4.71,48.48,44.22,"2016-2017","Darussafaka Dogus Istanbul"
"HARANGODY, LUKE",29,"372:34",1.83,1.36,114.1,135.95,21.85,0.65,11.95,7.19,15.37,11.1,80,43,37,26,17,0.46,5.19,64.38,58.98,"2016-2017","Darussafaka Dogus Istanbul"
"MOERMAN, ADRIEN",33,"717:02",1.27,1.02,108.33,107.13,-1.2,0.49,20.16,5.76,22.26,13.65,260,140,120,63,40,2.31,7.22,47.31,46.23,"2016-2017","Darussafaka Dogus Istanbul"
"0",0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0"
"SLAUGHTER, MARCUS",13,"196:56",0.58,1.62,110.71,102.63,-8.08,0.6,11.82,7.37,12.99,10.06,26,26,1,15,0,2.03,5.84,57.69,53.08,"2016-2017","Darussafaka Dogus Istanbul"
"0",0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0"
"0",0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0"
"WANAMAKER, BRAD",34,"1138:22",1.55,1.42,112.34,113.52,1.18,0.59,25.18,1.67,9.63,5.48,402,257,145,124,56,2.56,26.36,51.74,50.96,"2016-2017","Darussafaka Dogus Istanbul"
"WILBEKIN, SCOTTIE",31,"780:38",1.82,1.34,112.29,118.14,5.85,0.6,22.42,2.86,5.62,4.18,270,99,171,47,69,3.21,23.9,55.74,48.71,"2016-2017","Darussafaka Dogus Istanbul"
"0",0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0"
"ZIZIC, ANTE",20,"437:04",0.28,1.62,111.51,123.84,12.33,0.66,18.11,15.84,20.07,17.86,111,111,1,72,0,0.52,3.08,64.86,62.76,"2016-2017","Darussafaka Dogus Istanbul"
"CAUSEUR, FABIEN",29,"732:51",1.5,1.33,116.13,111.91,-4.22,0.61,19.74,2.7,12.84,8,215,120,95,75,33,1.86,15.09,57.91,50.07,"2016-2017","Brose Bamberg"
"0",0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0"
"HECKMANN, PATRICK",28,"348:47",1.38,1.24,118.05,102.46,-15.59,0.57,13.21,0.76,11.07,6.15,67,34,33,13,16,1.36,9.95,55.22,42.92,"2016-2017","Brose Bamberg"
"LO, MAODO",26,"282:55",1.23,1.18,116.7,99.55,-17.15,0.56,27.41,0.47,12.36,6.69,118,68,50,34,21,1.47,21.64,55.51,42.97,"2016-2017","Brose Bamberg"
"McNEAL, JEREL",15,"225:24",1.06,1.13,114.68,96.09,-18.59,0.52,16.78,5.86,9.63,7.83,52,26,26,14,8,2.9,12.18,50,42.74,"2016-2017","Brose Bamberg"
"MELLI, NICOLO",30,"876:43",1.35,1.36,111.23,113.11,1.88,0.6,20.03,5.73,25.31,15.97,255,172,83,92,36,1.49,13.78,57.25,51.47,"2016-2017","Brose Bamberg"
"MILLER, DARIUS",30,"814:10",1.36,1.32,117.13,111.67,-5.46,0.61,22.12,1.14,11.11,6.35,278,127,151,66,62,1.31,13.38,57.19,46.77,"2016-2017","Brose Bamberg"
"NIKOLIC, ALEKSEJ",10,"103:40",2.57,1.27,114.69,111.22,-3.47,0.54,18.96,2.55,6.98,4.87,26,12,14,5,4,3.44,27.55,42.31,47.18,"2016-2017","Brose Bamberg"
"0",0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0"
"RADOSEVIC, LEON",28,"451:22",0.64,1.32,116.26,104.93,-11.33,0.58,20.14,7.61,12.83,10.34,129,129,1,72,0,1.32,7.15,55.81,52.86,"2016-2017","Brose Bamberg"
"STAIGER, LUCCA",19,"124:14",1,1.48,116.93,0,0,0.74,22.58,3.19,13.59,8.63,50,2,48,1,24,1.43,6.24,74,0,"2016-2017","Brose Bamberg"
"STRELNIEKS, JANIS",22,"551:38",2.92,1.45,118.17,127.85,9.68,0.66,20.74,1.2,9.62,5.6,178,93,85,54,39,1.51,25.12,63.2,54.54,"2016-2017","Brose Bamberg"
"THEIS, DANIEL",30,"592:14",0.69,1.48,111.14,121.07,9.93,0.66,21.94,11.16,17.72,14.59,194,155,39,100,16,2,7.13,63.92,57.7,"2016-2017","Brose Bamberg"
"VEREMEENKO, VLADIMIR",25,"200:15",0.53,1.26,116.58,99.42,-17.16,0.55,16.53,12.54,10.24,11.34,43,43,1,24,0,1.48,6.69,55.81,49.55,"2016-2017","Brose Bamberg"
"ZISIS, NIKOS",30,"722:12",2.62,1.27,118.98,109.31,-9.67,0.53,19.43,1.1,8.85,5.15,183,110,73,48,21,1.32,30.3,43.44,48.51,"2016-2017","Brose Bamberg"
"ADAMS, JOSH",16,"269:04",1.78,1.47,121.6,118.53,-3.07,0.63,19.37,2.06,9.66,5.56,76,37,39,21,15,1.46,20.55,57.24,52.2,"2017-2018","Anadolu Efes Istanbul"
"BALBAY, DOGUS",16,"264:07",4.14,0.66,114.79,93,-21.79,0.31,11.14,6.72,9.84,8.16,50,40,10,13,1,4.25,16.65,29,44.66,"2017-2018","Anadolu Efes Istanbul"
"BATUK, BIRKAN",23,"241:08",5,1,123.27,111.26,-12.01,0.46,7.39,2.76,7.55,4.96,33,5,28,3,8,0.93,3.11,45.45,45.35,"2017-2018","Anadolu Efes Istanbul"
"0",0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0"
"BROWN, DERRICK",19,"390:15",1.88,1.01,121.51,103.03,-18.48,0.47,19.91,4.26,9.33,6.59,135,106,29,43,11,1.58,13.39,44.07,47.3,"2017-2018","Anadolu Efes Istanbul"
"0",0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0"
"0",0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0"
"DOUGLAS, TONEY",14,"252:09",1.47,1.28,120.45,109.54,-10.91,0.56,22.54,3.52,10.83,6.88,86,50,36,21,15,2,19.49,50.58,47.93,"2017-2018","Anadolu Efes Istanbul"
"DRAGIC, ZORAN",14,"392:49",1.9,1.24,122.75,112.51,-10.24,0.55,19.06,2.82,6.29,4.42,119,63,56,34,17,1.57,16.6,50,50.17,"2017-2018","Anadolu Efes Istanbul"
"DUNSTON, BRYANT",30,"845:25",1.26,1.68,116.75,130.45,13.7,0.68,14.81,8.13,15.53,11.54,183,177,6,116,2,1.46,8.05,65.03,65.78,"2017-2018","Anadolu Efes Istanbul"
"LEDO, RICKY",13,"272:48",1.11,0.81,118.22,82.91,-35.31,0.38,27.43,4.07,18.11,10.53,127,74,53,25,14,2.06,13.52,36.22,37.04,"2017-2018","Anadolu Efes Istanbul"
"MCCOLLUM, ERRICK",29,"767:44",1.14,1.24,120.85,106.67,-14.18,0.55,28.11,2.02,9.31,5.38,340,210,130,94,52,1.68,16.71,50.59,47.88,"2017-2018","Anadolu Efes Istanbul"
"MOTUM, BROCK",29,"556:07",0.83,1.23,122.17,116.01,-6.16,0.58,21,5.78,13.33,9.26,204,131,73,69,28,1.01,6.35,54.41,51.2,"2017-2018","Anadolu Efes Istanbul"
"MURIC, EDO",8,"115:45",0.5,0.67,119.51,67.22,-52.29,0.33,12.79,2.87,14.6,8.27,24,13,11,6,1,1.94,3.97,31.25,31.1,"2017-2018","Anadolu Efes Istanbul"
"0",0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0"
"0",0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0"
"SIMON, KRUNOSLAV",26,"734:20",1.98,1.11,119.94,105.2,-14.74,0.51,18.56,3.02,14.34,8.23,216,104,112,45,38,1.68,20.22,47.22,45.39,"2017-2018","Anadolu Efes Istanbul"
"STIMAC, VLADIMIR",30,"546:36",1.07,1.47,116.21,124.5,8.29,0.62,22.89,15.42,23.31,19.05,192,190,2,112,0,1.85,10.81,58.33,62.85,"2017-2018","Anadolu Efes Istanbul"
"WEEMS, SONNY",6,"182:27",1.85,1.11,122.25,105.95,-16.3,0.52,27.37,3.04,11.4,6.89,84,62,22,31,7,1.23,26.09,49.4,49.21,"2017-2018","Anadolu Efes Istanbul"
"0",0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0"
"BERTANS, DAIRIS",28,"514:55",3.08,1.28,123.82,123.21,-0.61,0.59,17.68,2.1,4.64,3.34,156,46,110,20,45,1.2,13.52,56.09,49.05,"2017-2018","AX Armani Exchange Olimpia Milan"
"CINCIARINI, ANDREA",24,"327:18",2.38,1.43,119.61,119.07,-0.54,0.61,16.91,4.04,17.68,10.7,76,57,19,29,9,1.37,26.13,55.92,54.61,"2017-2018","AX Armani Exchange Olimpia Milan"
"0",0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0"
"0",0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0"
"GOUDELOCK, ANDREW",25,"655:36",1.52,1.11,121.22,105.01,-16.21,0.51,25.33,2.01,9.59,5.72,278,150,128,69,40,1.63,12.56,46.4,45.43,"2017-2018","AX Armani Exchange Olimpia Milan"
"GUDAITIS, ARTURAS",29,"600:05",0.37,2.05,114.33,139.99,25.66,0.71,19.11,14.01,23.68,18.73,146,146,1,98,0,1.59,2.17,67.12,71.8,"2017-2018","AX Armani Exchange Olimpia Milan"
"JEFFERSON, CORY",13,"149:31",1,1.1,123.76,100.97,-22.79,0.49,16.89,4.02,10.09,6.98,41,25,16,13,4,0.38,4.56,46.34,47.88,"2017-2018","AX Armani Exchange Olimpia Milan"
"JERRELLS, CURTIS",24,"495:31",2.32,1.26,122.07,115.73,-6.34,0.58,22.84,1.7,9.39,5.45,182,76,106,42,39,1.47,24.41,55.22,49.07,"2017-2018","AX Armani Exchange Olimpia Milan"
"KALNIETIS, MANTAS",20,"325:54",1.59,1.14,120.19,96.35,-23.84,0.51,17.76,0.74,13.12,6.79,79,45,34,16,13,1.72,21.57,44.94,41.25,"2017-2018","AX Armani Exchange Olimpia Milan"
"KUZMINSKAS, MINDAUGAS",14,"307:12",1.54,1.33,122.73,117.45,-5.28,0.58,23.73,5.86,7.37,6.6,115,78,37,37,16,1.28,12.32,53.04,53.42,"2017-2018","AX Armani Exchange Olimpia Milan"
"M'BAYE, AMATH",30,"529:58",1.33,1.37,121.74,115.87,-5.87,0.6,16.48,3.17,11.15,7.07,134,68,66,37,25,1.17,9.05,55.6,51.13,"2017-2018","AX Armani Exchange Olimpia Milan"
"MICOV, VLADIMIR",29,"798:06",1.5,1.32,122.18,113.05,-9.13,0.61,19.06,0.75,11.03,5.77,239,133,106,68,47,1.13,14.18,57.95,49.01,"2017-2018","AX Armani Exchange Olimpia Milan"
"PASCOLO, DAVIDE",11,"125:28",2.33,1,116.08,105.78,-10.3,0.47,19.24,8.61,15.04,11.75,42,35,7,19,0,3.14,10.16,45.24,52.7,"2017-2018","AX Armani Exchange Olimpia Milan"
"TARCZEWSKI, KALEB",30,"590:32",0.27,1.98,116.53,125.05,8.52,0.7,14.95,12.81,23.22,17.89,101,101,1,65,0,0.95,2.58,64.36,63.28,"2017-2018","AX Armani Exchange Olimpia Milan"
"THEODORE, JORDAN",23,"604:07",2.38,1.15,121.61,108.25,-13.36,0.52,24.76,2.19,7.49,4.78,233,165,68,81,20,1.86,31.02,47.64,49.43,"2017-2018","AX Armani Exchange Olimpia Milan"
"ANTIC, PERO",18,"327:04",1.58,1.1,118.03,105.8,-12.23,0.48,19.01,5.29,18.18,11.09,101,28,73,12,20,2.28,9.77,41.58,45.22,"2017-2018","Crvena Zvezda mts Belgrade"
"0",0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0"
"BJELICA, MILKO",29,"753:06",1.86,1.13,122.66,109.13,-13.53,0.5,18.69,4.88,12.81,8.45,237,146,91,67,27,0.99,9.12,45.36,50.52,"2017-2018","Crvena Zvezda mts Belgrade"
"DANGUBIC, NEMANJA",18,"363:26",1.22,1.37,119.48,118.08,-1.4,0.61,16.93,4.76,16.36,9.98,98,51,47,24,22,1.9,10.7,58.16,50.59,"2017-2018","Crvena Zvezda mts Belgrade"
"DAVIDOVAC, DEJAN",24,"375:26",1.4,1.7,119.21,128.39,9.18,0.7,16.95,4.32,11.62,7.6,92,45,47,28,22,2.45,13.33,66.3,56.9,"2017-2018","Crvena Zvezda mts Belgrade"
"DOBRIC, OGNJEN",26,"395:25",1,1.24,119.93,121.3,1.37,0.58,19.12,7.38,10.7,8.87,135,58,77,34,27,2.33,5.17,55.19,51.86,"2017-2018","Crvena Zvezda mts Belgrade"
"FELDEINE, JAMES",28,"698:53",2.05,1.11,120.82,106.38,-14.44,0.5,25.33,1.55,6.81,3.91,294,175,119,69,41,2.8,21.39,44.39,46.64,"2017-2018","Crvena Zvezda mts Belgrade"
"ENNIS, DYLAN",18,"234",1.26,1.16,119.62,100.07,-19.55,0.51,28.02,1.36,16.11,8,101,56,45,18,18,1.93,22.53,44.55,42.68,"2017-2018","Crvena Zvezda mts Belgrade"
"JANKOVIC, STEFAN",28,"331:36",1,0.99,117.92,102.39,-15.53,0.46,18.9,9.13,16.74,12.55,108,71,37,35,7,1.73,6.93,42.13,47.63,"2017-2018","Crvena Zvezda mts Belgrade"
"JOVANOVIC, NIKOLA",16,"129:06",0.75,1.24,119.47,113.41,-6.06,0.53,21.73,17.59,23.54,20.27,46,43,3,24,1,0.45,4.66,55.43,57.25,"2017-2018","Crvena Zvezda mts Belgrade"
"0",0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0"
"0",0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0"
"LAZIC, BRANKO",30,"611:18",2.08,0.95,121.57,104.11,-17.46,0.44,9.98,4.24,7.78,5.84,105,47,58,19,15,2.16,6.94,39.52,44.38,"2017-2018","Crvena Zvezda mts Belgrade"
"LESSORT, MATHIAS",30,"632:58",0.44,1.4,116.63,107.56,-9.07,0.58,20.84,14.69,17.54,15.97,182,181,1,100,0,2.27,6.8,54.95,54.6,"2017-2018","Crvena Zvezda mts Belgrade"
"OMIC, ALEN",11,"191:01",0.82,1.7,121.89,122.32,0.43,0.68,19.94,10.19,17.3,13.39,54,54,1,38,0,0.6,9.55,70.37,63.32,"2017-2018","Crvena Zvezda mts Belgrade"
"RADICEVIC, NIKOLA",9,"111:06",1.89,0.89,119.92,82.16,-37.76,0.36,24.71,0.97,10.71,5.35,38,26,12,6,2,2.59,24.66,23.68,39.81,"2017-2018","Crvena Zvezda mts Belgrade"
"ROCHESTIE, TAYLOR",30,"780:18",2.78,1.31,122.38,122.7,0.32,0.61,23.97,1.8,9.32,5.18,308,185,123,102,50,1.77,38.62,57.47,53.66,"2017-2018","Crvena Zvezda mts Belgrade"
"ANTONOV, SEMEN",34,"465:37",2,1.34,112.15,130.99,18.84,0.61,13.01,6.96,11.32,9.19,106,56,50,33,20,1.54,6.41,59.43,57.76,"2017-2018","CSKA Moscow"
"CLYBURN, WILL",36,"955:58",1.12,1.27,110.06,109.25,-0.81,0.53,22.69,7.04,19.68,13.49,329,246,83,111,32,1.79,10.72,48.33,51.98,"2017-2018","CSKA Moscow"
"DE COLO, NANDO",32,"825:07",1.61,1.6,112.2,127.68,15.48,0.69,26.9,1.51,9,5.33,334,216,118,123,58,2.67,25.54,62.87,56.01,"2017-2018","CSKA Moscow"
"FRIDZON, VITALY",30,"227:49",0.92,1.1,114.32,104.48,-9.84,0.5,20.63,4.93,6.31,5.63,78,44,34,16,13,1.94,7.35,45.51,44.72,"2017-2018","CSKA Moscow"
"0",0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0"
"HIGGINS, CORY",36,"887:50",1.31,1.5,112.62,123.83,11.21,0.64,24.25,1.83,9.72,5.85,341,253,88,145,40,2.3,13.11,60.12,57.56,"2017-2018","CSKA Moscow"
"HINES, KYLE",31,"674:21",2.92,1.56,108.74,141.91,33.17,0.65,15.23,11.28,13.15,12.23,167,166,1,101,0,2.78,8.88,60.48,70.04,"2017-2018","CSKA Moscow"
"HUNTER, OTHELLO",30,"579:06",0.87,1.58,108.65,134.65,26,0.65,17.61,17.44,17.38,17.41,156,154,2,96,0,2.57,5.59,61.54,66.9,"2017-2018","CSKA Moscow"
"KHRYAPA, VICTOR",16,"105:16",0.75,1.19,108.01,93.83,-14.18,0.55,14.09,3.55,21.63,12.77,21,12,9,7,3,2.09,8.27,54.76,42.49,"2017-2018","CSKA Moscow"
"0",0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0"
"0",0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0"
"KURBANOV, NIKITA",36,"671:18",1.55,1.37,110.85,120.1,9.25,0.59,13.53,6.13,14.64,10.47,137,83,54,45,18,1.97,9.71,52.55,54.24,"2017-2018","CSKA Moscow"
"0",0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0"
"RODRIGUEZ, SERGIO",36,"936:42",2.31,1.42,114.57,126.29,11.72,0.65,23.41,1.46,7.93,4.76,348,138,210,79,92,1.77,31.59,62.36,52.46,"2017-2018","CSKA Moscow"
"RUDD, VICTOR",13,"131:53",0.67,1.15,110.53,97.53,-13,0.5,13.15,1.89,11.81,6.95,26,12,14,5,4,2.51,4.24,42.31,42.31,"2017-2018","CSKA Moscow"
"VORONTSEVICH, ANDREY",30,"451:22",1.67,1.22,112.71,121.67,8.96,0.58,14.33,4.14,14.87,9.61,116,48,68,25,27,0.73,6.62,56.47,50.58,"2017-2018","CSKA Moscow"
"WESTERMANN, LEO",17,"228:56",2.29,1.14,114.5,111.64,-2.86,0.52,18.96,2.18,8.37,5.34,69,29,40,12,13,1.69,20.71,45.65,46.31,"2017-2018","CSKA Moscow"
"CLAVER, VICTOR",24,"383:57",2.55,1.19,110.69,120.3,9.61,0.57,13.77,6.28,14.44,10.53,93,48,45,23,19,2.06,11.12,55.38,51.08,"2017-2018","FC Barcelona Lassa"
"0",0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0"
"0",0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0"
"HANGA, ADAM",26,"643:02",1.53,1.24,112.07,108.74,-3.33,0.55,18.08,5.43,11.73,8.71,181,109,72,57,25,1.67,12.69,52.21,49.69,"2017-2018","FC Barcelona Lassa"
"HEURTEL, THOMAS",30,"709:16",2.8,1.31,114.33,117.83,3.5,0.59,24.41,2.21,9.38,5.94,260,168,92,98,32,1.75,46.78,56.15,53.04,"2017-2018","FC Barcelona Lassa"
"JACKSON, EDWIN",9,"131:01",1.38,1.17,111.44,106.92,-4.52,0.56,16.66,5.52,9.31,7.49,35,24,11,11,5,3.02,13.06,52.86,46.53,"2017-2018","FC Barcelona Lassa"
"KOPONEN, PETTERI",29,"585:20",1.76,1.35,115.96,119.64,3.68,0.65,16.92,1.03,7.58,4.44,171,79,92,37,47,1.35,12.1,62.87,48.26,"2017-2018","FC Barcelona Lassa"
"0",0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0"
