"Player","Games","Min","Ast.To","PPS","DRTG","ORTG","NRTG","TS.","USG.","ORB.","DRB.","TRB.","FGA","FGA2","FGA3","FGM2","FGM3","StlPer","AstPer","eFGPer","FloorPer","Season","Team"
"TOMIC, ANTE",29,"632:46",1.04,1.28,104.76,100.24,-4.52,0.53,24.13,12.38,20.34,16.45,200,199,1,105,0,1.55,19.92,52.5,50.91,"2016-2017","FC Barcelona Lassa"
"VEZENKOV, SASHA",30,"551:48",1.79,1.59,106.53,134.61,28.08,0.72,16.36,5.63,15.55,10.7,142,71,71,48,34,2.1,12.9,69.72,57.86,"2016-2017","FC Barcelona Lassa"
"ANTIC, PERO",31,"420:07",1.73,1.17,106.06,108.48,2.42,0.51,17.39,4.35,17.68,11.25,111,31,80,10,27,1.8,7.81,45.5,45.34,"2016-2017","Fenerbahce Istanbul"
"0",0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0"
"0",0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0"
"BOGDANOVIC, BOGDAN",22,"614:51",1.54,1.49,105.63,117.16,11.53,0.65,25.47,1.91,14.86,8.61,216,109,107,62,46,2.36,26.49,60.65,50.68,"2016-2017","Fenerbahce Istanbul"
"DATOME, LUIGI",33,"780:08",1,1.31,108.42,114.55,6.13,0.59,19.5,5.02,14.36,9.85,231,128,103,54,48,1.34,8.37,54.55,48.15,"2016-2017","Fenerbahce Istanbul"
"0",0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0"
"0",0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0"
"KALINIC, NIKOLA",33,"790:33",1.11,1.28,107.06,106.05,-1.01,0.58,17.26,3.14,12.63,8.05,195,123,72,69,25,1.99,11.77,54.62,47.73,"2016-2017","Fenerbahce Istanbul"
"MAHMUTOGLU, MELIH",20,"207:53",2.75,1.3,111.86,125.47,13.61,0.62,17.08,1.26,4.69,3.03,61,13,48,5,21,1.4,9.77,59.84,46.72,"2016-2017","Fenerbahce Istanbul"
"0",0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0"
"MUHAMMED, ALI",34,"862:09",1.58,1.23,107.73,108.7,0.97,0.57,24.62,2.88,10.45,6.8,314,113,201,52,78,2.36,23.82,53.82,44.22,"2016-2017","Fenerbahce Istanbul"
"NUNNALLY, JAMES",34,"608:57",1.76,1.21,109.32,109.72,0.4,0.57,17.42,3.22,10.4,6.93,159,88,71,38,32,1.34,17.26,54.09,46.33,"2016-2017","Fenerbahce Istanbul"
"SLOUKAS, KOSTAS",29,"757:52",1.78,1.34,110.2,106.73,-3.47,0.58,21.01,1.55,8.52,5.15,200,130,70,59,30,1.38,31.22,52,47.14,"2016-2017","Fenerbahce Istanbul"
"UDOH, EKPE",31,"992:51",1.79,1.46,101.69,123.08,21.39,0.61,18.34,9.99,20.24,15.3,257,256,1,150,0,1.76,13.28,58.37,61.88,"2016-2017","Fenerbahce Istanbul"
"0",0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0"
"VESELY, JAN",34,"831:25",1,1.42,104.74,109.05,4.31,0.58,21.07,8.64,14.5,11.67,231,228,3,130,0,2.45,11.54,56.28,56,"2016-2017","Fenerbahce Istanbul"
"AGRAVANIS, DIMITRIS",25,"281",0.57,1.03,103.01,105.4,2.39,0.46,18.28,9.22,15.1,12.17,88,40,48,19,11,2.19,2.46,40.34,47.34,"2016-2017","Olympiacos Piraeus"
"0",0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0"
"BIRCH, KHEM",37,"670:01",0.32,1.63,100.02,120.07,20.05,0.65,18.1,14.19,21.35,17.78,165,165,1,103,0,1.53,3.44,62.42,61.47,"2016-2017","Olympiacos Piraeus"
"GREEN, ERICK",36,"737:28",1.26,1.21,106.53,113.74,7.21,0.56,23.21,1.55,8.93,5.26,294,174,120,82,48,1.93,9.25,52.38,49.84,"2016-2017","Olympiacos Piraeus"
"HACKETT, DANIEL",11,"160:21",9,1.15,106.14,115.7,9.56,0.48,18.33,0.71,11.33,6.04,48,33,15,13,4,1.78,19.73,39.58,54.43,"2016-2017","Olympiacos Piraeus"
"LOJESKI, MATT",26,"556:57",1.62,1.43,106.19,125.25,19.06,0.64,20.24,4.32,12.03,8.19,180,92,88,52,37,1.33,14.64,59.72,54.52,"2016-2017","Olympiacos Piraeus"
"MANTZARIS, VANGELIS",37,"875:43",2.02,1.04,106.41,103.33,-3.08,0.5,14.63,1.96,11.67,6.84,207,56,151,17,55,1.63,16.76,48.07,40.82,"2016-2017","Olympiacos Piraeus"
"MILUTINOV, NIKOLA",36,"456:54",0.58,1.5,102.22,112.21,9.99,0.62,17.88,15.54,13.66,14.6,107,106,1,62,0,1.5,8.52,57.94,56.23,"2016-2017","Olympiacos Piraeus"
"PAPANIKOLAOU, KOSTAS",37,"861:06",1.3,1.23,101.38,112.72,11.34,0.55,18.16,7.58,15.95,11.79,244,127,117,66,37,2.85,11.71,49.8,50.09,"2016-2017","Olympiacos Piraeus"
"PAPAPETROU, IOANNIS",36,"571:06",0.81,1.03,103.43,100.22,-3.21,0.49,15.7,3.21,15.3,9.28,154,76,78,35,26,1.9,5.24,48.05,42.9,"2016-2017","Olympiacos Piraeus"
"PRINTEZIS, GEORGIOS",32,"812:26",1.5,1.23,104.72,115.95,11.23,0.54,24.19,6.06,16.77,11.44,333,266,67,129,27,1.47,8.41,50.9,55.43,"2016-2017","Olympiacos Piraeus"
"SPANOULIS, VASSILIS",33,"884:12",1.53,1.26,109.37,99.09,-10.28,0.53,29,1.04,6.29,3.68,331,163,168,78,53,1.22,43.15,47.58,44.29,"2016-2017","Olympiacos Piraeus"
"0",0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0"
"WATERS, DOMINIC",21,"224:52",1.63,1.25,109.52,107.77,-1.75,0.58,20.53,1.53,6.06,3.8,69,50,19,28,6,1.01,26.32,53.62,49.19,"2016-2017","Olympiacos Piraeus"
"YOUNG, PATRIC",30,"288:23",0.21,1.39,101.34,98.34,-3,0.54,16.26,9.53,18.89,14.23,59,58,1,29,0,1.78,2.41,49.15,51.16,"2016-2017","Olympiacos Piraeus"
"0",0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0"
"BARGNANI, ANDREA",15,"240:42",0.29,1.23,113.63,96.84,-16.79,0.54,28.36,2.9,9.89,6.44,107,84,23,42,7,0.23,4.67,49.07,46.9,"2016-2017","Baskonia Vitoria Gasteiz"
"BEAUBOIS, RODRIGUE",30,"607:36",1.06,1.25,113.09,108.41,-4.68,0.58,27.36,0.96,7.09,4.06,282,140,142,75,54,1.21,16,55.32,46.29,"2016-2017","Baskonia Vitoria Gasteiz"
"BLAZIC, JAKA",33,"450:08",0.79,1.05,110.99,99.6,-11.39,0.49,18.56,4.91,12.59,8.8,146,84,62,34,24,1.88,5.48,47.95,43.78,"2016-2017","Baskonia Vitoria Gasteiz"
"BUDINGER, CHASE",29,"547:53",1.35,1.25,109.8,116.15,6.35,0.58,17.06,8.07,14.9,11.52,159,101,58,59,19,1.85,10.74,55.03,52.61,"2016-2017","Baskonia Vitoria Gasteiz"
"0",0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0"
"DIOP, ILIMANE",33,"454:20",0.65,1.51,108.89,112.24,3.35,0.62,13.68,5.89,16.71,11.37,89,89,1,51,0,0.99,5.28,57.3,56.51,"2016-2017","Baskonia Vitoria Gasteiz"
"HANGA, ADAM",33,"924:37",1.76,1.23,107.61,110.64,3.03,0.55,18.67,3.9,14.1,9.06,283,164,119,87,40,2.56,14.25,51.94,50.58,"2016-2017","Baskonia Vitoria Gasteiz"
"LAPROVITTOLA, NICOLAS",14,"128:52",1.72,0.78,112.57,81.22,-31.35,0.37,25.65,1.8,8.8,5.35,49,18,31,6,7,1.75,37.82,33.67,34.26,"2016-2017","Baskonia Vitoria Gasteiz"
"LARKIN, SHANE",33,"953:45",2.03,1.25,110.75,107.58,-3.17,0.54,24.55,2.19,8.44,5.36,345,202,143,91,49,2.48,33.22,47.68,48.45,"2016-2017","Baskonia Vitoria Gasteiz"
"LUZ, RAFA",32,"249:08",1.96,1.31,109.54,108.55,-0.99,0.63,15.55,2.8,9.1,5.99,54,36,18,20,9,2.94,31.69,62.04,48.05,"2016-2017","Baskonia Vitoria Gasteiz"
"0",0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0"
"0",0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0"
"SHENGELIA, TORNIKE",24,"499:24",0.7,1.45,108.61,108.48,-0.13,0.6,24.77,7.22,15.89,11.61,178,154,24,78,13,2.03,11.91,54.78,52.16,"2016-2017","Baskonia Vitoria Gasteiz"
"TILLIE, KIM",32,"615:39",1.48,1.44,109.39,129.87,20.48,0.66,14.72,8.69,13.99,11.37,153,99,54,62,22,2.1,9.2,62.09,58.29,"2016-2017","Baskonia Vitoria Gasteiz"
"VOIGTMANN, JOHANNES",33,"773:45",1.84,1.42,107.53,127.68,20.15,0.62,18.3,11.42,22.85,17.21,233,160,73,103,23,1.38,12.83,59.01,60.25,"2016-2017","Baskonia Vitoria Gasteiz"
"ALEXANDER, JOE",17,"188:16",0.5,1.31,115.84,99.48,-16.36,0.6,17.64,3.93,11.19,7.75,49,38,11,18,7,0.88,6.44,58.16,44.89,"2016-2017","Maccabi FOX Tel Aviv"
