"Teams","Possessions","Pace","TS","PPP","DRTG","ORTG","NRTG","eFG","FGM2P","FGM3P","FGA"
"Anadolu Efes IstanbulIST",1053,70.2,"53.75%",1.11,117.6,110.8,-6.8,"49.38%","48.82%","33.64%",965
"AX Armani Exchange Olimpia MilanMIL",1071,70.2,"57.86%",1.17,122,117.2,-4.8,"52.36%","49.74%","37.75%",934
"Brose BambergBAM",1050,70,"58.47%",1.13,113,112.9,-0.1,"54.04%","51.50%","38.96%",891
"Crvena Zvezda mts BelgradeRED",1046,69.7,"54.85%",1.16,114.7,116,1.3,"50.56%","49.92%","34.41%",983
"CSKA MoscowCSK",1080,71.4,"65.37%",1.28,110.6,128.3,17.7,"60.85%","55.26%","47.40%",926
"FC Barcelona LassaBAR",1102,73.5,"57.40%",1.11,104.1,111.4,7.3,"55.01%","54.90%","36.78%",979
"Fenerbahce Dogus IstanbulULK",1035,67.9,"60.15%",1.18,109,117.6,8.6,"56.10%","54.27%","39.80%",885
"Khimki Moscow RegionKHI",1061,70.7,"56.47%",1.09,107.2,109.1,1.9,"53.24%","53.01%","35.70%",910
"KIROLBET Baskonia Vitoria GasteizBAS",1089,72.6,"60.51%",1.18,107.4,117.8,10.4,"57.31%","56.54%","39.01%",937
"Maccabi FOX Tel AvivTEL",1096,73.1,"55.12%",1.12,110.9,112.2,1.3,"51.78%","51.48%","35.04%",985
"Olympiacos PiraeusOLY",1090,71.5,"57.82%",1.15,103.9,115,11.1,"52.72%","55.14%","32.34%",918
"Panathinaikos Superfoods AthensPAN",1082,71,"58.72%",1.16,104.2,116.3,12.1,"55.84%","54.36%","38.64%",933
"Real MadridMAD",1095,73,"61.07%",1.2,106.5,120.1,13.6,"56.57%","55.84%","38.42%",928
"Unicaja MalagaMAL",1058,69.4,"55.53%",1.16,112.4,115.5,3.1,"51.53%","52.40%","33.33%",978
"Valencia BasketPAM",1050,68.9,"59.66%",1.16,112.4,116.1,3.7,"55.41%","53.50%","38.62%",905
"Zalgiris KaunasZAL",1023,68.2,"61.01%",1.19,116.6,119.5,2.9,"56.44%","54.34%","41.04%",862
