"Teams","Pts","FGM2","FGA2","FGM3","FGA3","FTM","FTA","Tmp","TO","OR","OppPts","OppDefReb","AST","OppOffReb","OppFGM2","OppFGA2","OppFGM3","OppFGA3","OppFTM","OppFTA","OppMP","OppTO","BLK","DefReb","FLC","STL"
"Anadolu Efes IstanbulIST",401,74,129,63,158,64,79,"1000:00",44,37,363,111,90,74,106,220,40,108,31,53,"1000:00",54,19,116,90,28
"CSKA MoscowCSK",338,75,140,40,103,68,82,"800:00",52,45,306,88,63,38,76,141,32,94,58,84,"800:00",58,8,98,90,31
"FC Barcelona LassaBAR",363,106,220,40,108,31,53,"1000:00",54,74,401,116,80,37,74,129,63,158,64,79,"1000:00",44,9,111,97,26
"Fenerbahce Beko IstanbulULK",321,67,117,46,103,49,60,"800:00",45,25,264,82,69,36,74,135,22,69,50,68,"800:00",66,12,77,88,35
"KIROLBET Baskonia Vitoria-GasteizBAS",306,76,141,32,94,58,84,"800:00",58,38,338,98,67,45,75,140,40,103,68,82,"800:00",52,13,88,98,28
"Panathinaikos OPAP AthensPAN",217,56,130,25,61,30,39,"600:00",34,23,242,90,39,23,52,88,33,92,39,56,"600:00",35,10,74,64,16
"Real MadridMAD",242,52,88,33,92,39,56,"600:00",35,23,217,74,61,23,56,130,25,61,30,39,"600:00",34,12,90,60,22
"Zalgiris KaunasZAL",264,74,135,22,69,50,68,"800:00",66,36,321,77,52,25,67,117,46,103,49,60,"800:00",45,4,82,84,16
