"Teams","Pts","FGM2","FGA2","FGM3","FGA3","FTM","FTA","Tmp","TO","OR","OppPts","OppDefReb","AST"
"CSKA MoscowCSK",187,41,75,17,47,54,63,"400:00",22,29,179,37,34
"Fenerbahce Dogus IstanbulULK",177,41,67,18,44,41,49,"400:00",29,21,162,28,36
"Khimki Moscow RegionKHI",167,36,61,19,50,38,50,"400:00",31,13,162,47,32
"KIROLBET Baskonia Vitoria GasteizBAS",171,37,66,21,41,34,42,"400:00",25,16,175,34,39
"Olympiacos PiraeusOLY",157,35,75,19,49,30,45,"425:00",29,25,155,52,31
"Panathinaikos Superfoods AthensPAN",177,47,72,19,48,26,39,"400:00",25,13,156,45,38
"Real MadridMAD",170,40,66,17,49,39,53,"400:00",23,14,156,49,37
"Zalgiris KaunasZAL",181,42,66,17,40,46,56,"400:00",19,17,151,35,41
