"Teams","Pts","FGM2","FGA2","FGM3","FGA3","FTM","FTA","Tmp","TO","OR","OppPts","OppDefReb","AST","OppOffReb","OppFGM2","OppFGA2","OppFGM3","OppFGA3","OppFTM","OppFTA","OppMP","OppTO","BLK","DefReb","FLC","STL"
"CSKA MoscowCSK",349,74,147,34,98,99,121,"800:00",53,58,346,88,59,36,68,122,46,116,72,92,"800:00",56,9,91,94,28
"Fenerbahce Dogus IstanbulULK",352,77,134,40,97,78,95,"800:00",50,42,333,72,76,37,79,141,37,87,64,81,"800:00",51,8,81,85,31
"Khimki Moscow RegionKHI",346,68,122,46,116,72,92,"800:00",56,36,349,91,67,58,74,147,34,98,99,121,"800:00",53,18,88,105,24
"KIROLBET Baskonia Vitoria GasteizBAS",333,79,141,37,87,64,81,"800:00",51,37,352,81,71,42,77,134,40,97,78,95,"800:00",50,6,72,92,21
"Olympiacos PiraeusOLY",308,64,135,33,97,81,110,"825:00",50,46,336,100,63,34,82,152,32,73,76,96,"825:00",42,9,86,101,18
"Panathinaikos Superfoods AthensPAN",333,84,151,39,101,48,72,"800:00",49,36,326,99,66,38,73,142,31,88,87,118,"800:00",50,9,98,116,27
"Real MadridMAD",326,73,142,31,88,87,118,"800:00",50,38,333,98,75,36,84,151,39,101,48,72,"800:00",49,8,99,83,24
"Zalgiris KaunasZAL",336,82,152,32,73,76,96,"825:00",42,34,308,86,75,46,64,135,33,97,81,110,"825:00",50,12,100,98,21
