"Teams","Possessions","Pace","TS","PPP","DRTG","ORTG","NRTG","eFG","FGM2P","FGM3P","FGA"
"Anadolu Efes IstanbulIST",192,64,"59.18%",1.18,110.9,118.2,7.3,"55.81%","54.17%","38.00%",172
"CSKA MoscowCSK",140,70,"63.26%",1.16,104.3,115.7,11.4,"57.27%","52.63%","41.51%",110
"FC Barcelona LassaBAR",135,67.5,"50.27%",1.11,128.9,111.1,-17.8,"49.26%","45.74%","38.10%",136
"Fenerbahce Beko IstanbulULK",138,69,"63.89%",1.13,90.6,113,22.4,"60.65%","55.74%","44.68%",108
"KIROLBET Baskonia Vitoria-GasteizBAS",150,75,"56.53%",1.07,117.3,106.7,-10.6,"52.16%","50.67%","36.59%",116
"Panathinaikos OPAP AthensPAN",72,72,"57.71%",1.14,123.6,113.9,-9.7,"53.91%","48.84%","42.86%",64
"Real MadridMAD",144,72,"57.35%",1.06,93.8,106.2,12.4,"54.66%","53.57%","37.10%",118
"Zalgiris KaunasZAL",129,64.5,"57.46%",1.08,127.9,107.8,-20.1,"53.30%","52.86%","36.11%",106
