"Teams","Pts","FGM2","FGA2","FGM3","FGA3","FTM","FTA","Tmp","TO","OR","OppPts","OppDefReb","AST"
"Anadolu Efes IstanbulIST",1248,319,552,148,371,166,211,"3000:00",180,113,1253,361,284
"AX Armani Exchange Olimpia MilanMIL",1337,326,588,148,373,241,304,"3025:00",163,154,1339,347,241
"Buducnost VOLI PodgoricaBUD",1092,313,645,104,308,154,216,"3000:00",184,146,1346,403,208
"CSKA MoscowCSK",1300,341,603,133,339,219,277,"3000:00",174,166,1224,320,281
"Darussafaka Tekfen IstanbulDAR",1072,310,602,95,321,167,228,"3000:00",231,160,1344,371,231
"FC Barcelona LassaBAR",1163,299,576,115,330,220,290,"3025:00",186,149,1215,364,254
"FC Bayern MunichMUN",1152,287,528,133,346,179,230,"3000:00",182,115,1232,347,243
"Fenerbahce Beko IstanbulULK",1241,296,523,147,336,208,258,"3075:00",180,127,1151,303,260
"Herbalife Gran CanariaCAN",1108,276,556,133,411,157,218,"3000:00",210,181,1353,393,246
"Khimki Moscow RegionKHI",1181,278,508,150,428,175,222,"3000:00",174,149,1259,368,274
"KIROLBET Baskonia Vitoria-GasteizBAS",1210,311,571,131,352,195,273,"3025:00",193,154,1266,347,261
"Maccabi FOX Tel AvivTEL",1157,305,586,132,397,151,215,"3000:00",181,187,1214,374,229
"Olympiacos PiraeusOLY",1103,291,571,115,330,176,230,"3000:00",193,169,1148,332,246
"Panathinaikos OPAP AthensPAN",1132,347,645,94,294,156,218,"3000:00",177,156,1192,351,244
"Real MadridMAD",1199,260,494,162,434,193,258,"3000:00",193,158,1152,360,273
"Zalgiris KaunasZAL",1164,311,614,91,252,269,320,"3050:00",188,134,1180,336,255
