"Teams","Pts","FGM2","FGA2","FGM3","FGA3","FTM","FTA","Tmp","TO","OR","OppPts","OppDefReb","AST"
"Anadolu Efes IstanbulIST",1154,332,651,102,292,184,247,"3000:00",182,167,1292,365,212
"AX Armani Exchange Olimpia MilanMIL",1195,308,555,125,350,204,275,"3050:00",171,125,1268,366,237
"Brose BambergBAM",1124,265,536,120,318,234,293,"3000:00",196,123,1259,361,236
"Crvena Zvezda mts BelgradeRED",1120,274,560,124,366,200,279,"3000:00",187,170,1315,377,218
"CSKA MoscowCSK",1461,402,714,133,358,258,328,"3400:00",201,173,1362,388,268
"FC Barcelona LassaBAR",1228,304,553,143,360,191,256,"3000:00",183,138,1257,347,320
"Fenerbahce Dogus IstanbulULK",1459,349,660,166,378,263,326,"3650:00",212,166,1383,372,345
"Khimki Moscow RegionKHI",1359,300,577,178,489,225,290,"3400:00",189,181,1402,416,308
"KIROLBET Baskonia Vitoria GasteizBAS",1366,354,640,159,397,181,239,"3400:00",225,162,1380,379,316
"Maccabi FOX Tel AvivTEL",1210,354,688,104,288,190,269,"3000:00",174,174,1315,375,266
"Olympiacos PiraeusOLY",1232,280,576,134,397,270,355,"3475:00",233,171,1350,398,267
"Panathinaikos Superfoods AthensPAN",1266,327,621,139,429,195,292,"3425:00",213,192,1368,424,236
"Real MadridMAD",1520,359,662,175,469,277,360,"3625:00",204,193,1489,426,338
"Unicaja MalagaMAL",1165,291,585,130,355,193,266,"3025:00",196,183,1278,355,274
"Valencia BasketPAM",1141,250,518,143,348,212,252,"3000:00",173,124,1269,351,260
"Zalgiris KaunasZAL",1525,429,801,130,303,277,368,"3900:00",285,179,1533,394,345
