"Teams","Pts","FGM2","FGA2","FGM3","FGA3","FTM","FTA","Tmp","TO","OR","OppPts","OppDefReb","AST"
"CSKA MoscowCSK",162,33,72,17,51,45,58,"400:00",31,29,167,51,25
"Fenerbahce Dogus IstanbulULK",175,36,67,22,53,37,46,"400:00",21,21,171,44,40
"Khimki Moscow RegionKHI",179,32,61,27,66,34,42,"400:00",25,23,187,44,35
"KIROLBET Baskonia Vitoria GasteizBAS",162,42,75,16,46,30,39,"400:00",26,21,177,47,32
"Olympiacos PiraeusOLY",151,29,60,14,48,51,65,"400:00",21,21,181,48,32
"Panathinaikos Superfoods AthensPAN",156,37,79,20,53,22,33,"400:00",24,23,170,54,28
"Real MadridMAD",156,33,76,14,39,48,65,"400:00",27,24,177,49,38
"Zalgiris KaunasZAL",155,40,86,15,33,30,40,"425:00",23,17,157,51,34
