"Teams","Possessions","Pace","TS","PPP","DRTG","ORTG","NRTG","eFG","FGM2P","FGM3P","FGA"
"CSKA MoscowCSK",143,71.5,"62.45%",1.31,125.2,130.8,5.6,"54.51%","54.67%","36.17%",122
"Fenerbahce Dogus IstanbulULK",141,70.5,"66.76%",1.26,114.9,125.5,10.6,"61.26%","61.19%","40.91%",111
"Khimki Moscow RegionKHI",151,75.5,"62.78%",1.11,107.3,110.6,3.3,"58.11%","59.02%","38.00%",111
"KIROLBET Baskonia Vitoria GasteizBAS",134,67,"68.14%",1.28,130.6,127.6,-3,"64.02%","56.06%","51.22%",107
"Olympiacos PiraeusOLY",148,69.6,"54.59%",1.06,104.7,106.1,1.4,"51.21%","46.67%","38.78%",124
"Panathinaikos Superfoods AthensPAN",149,74.5,"64.52%",1.19,104.7,118.8,14.1,"62.92%","65.28%","39.58%",120
"Real MadridMAD",147,73.5,"61.45%",1.16,106.1,115.6,9.5,"56.96%","60.61%","34.69%",115
"Zalgiris KaunasZAL",133,66.5,"69.27%",1.36,113.5,136.1,22.6,"63.68%","63.64%","42.50%",106
