"Teams","Possessions","Pace","TS","PPP","DRTG","ORTG","NRTG","eFG","FGM2P","FGM3P","FGA"
"Anadolu Efes IstanbulIST",2119,70.6,"54.30%",1.1,119.4,109.5,-9.9,"50.39%","49.92%","34.24%",1908
"AX Armani Exchange Olimpia MilanMIL",2143,70.3,"58.04%",1.14,120.2,114.3,-5.9,"53.53%","52.56%","36.74%",1839
"Brose BambergBAM",2106,70.2,"57.83%",1.1,116.1,109.6,-6.5,"53.09%","50.50%","38.35%",1745
"Crvena Zvezda mts BelgradeRED",2112,70.4,"54.14%",1.1,119.1,110.5,-8.6,"50.13%","49.44%","34.15%",1909
"CSKA MoscowCSK",2174,72.2,"63.09%",1.24,109.9,123.5,13.6,"59.01%","56.41%","42.74%",1875
"FC Barcelona LassaBAR",2172,72.4,"58.61%",1.13,110.7,113.1,2.4,"55.87%","54.94%","38.24%",1892
"Fenerbahce Dogus IstanbulULK",2052,67.3,"60.98%",1.18,109.9,118,8.1,"57.00%","53.51%","42.38%",1744
"Khimki Moscow RegionKHI",2115,70.5,"56.38%",1.11,111.2,110.5,-0.7,"52.95%","52.47%","35.70%",1849
"KIROLBET Baskonia Vitoria GasteizBAS",2151,71.7,"60.24%",1.16,110.3,115.6,5.3,"57.39%","55.89%","39.86%",1853
"Maccabi FOX Tel AvivTEL",2190,73,"55.20%",1.11,115.5,111.4,-4.1,"52.01%","51.47%","35.59%",1961
"Olympiacos PiraeusOLY",2145,70,"56.21%",1.09,107.3,108.9,1.6,"51.32%","52.09%","33.38%",1783
"Panathinaikos Superfoods AthensPAN",2134,70.3,"56.30%",1.11,109,111,2,"53.46%","53.94%","35.18%",1851
"Real MadridMAD",2173,72.1,"60.28%",1.19,110.2,119.1,8.9,"56.16%","55.91%","37.68%",1883
"Unicaja MalagaMAL",2128,70.1,"55.32%",1.12,115.9,112.2,-3.7,"51.62%","51.12%","34.98%",1918
"Valencia BasketPAM",2075,68.6,"59.04%",1.14,118,113.7,-4.3,"54.55%","50.87%","39.78%",1771
"Zalgiris KaunasZAL",2115,69.6,"60.98%",1.16,114.2,115.7,1.5,"56.88%","54.30%","42.20%",1743
