"Teams","Possessions","Pace","TS","PPP","DRTG","ORTG","NRTG","eFG","FGM2P","FGM3P","FGA"
"Anadolu Efes IstanbulIST",138,69,"58.15%",1.27,118.8,126.8,8,"52.65%","45.71%","40.32%",132
"CSKA MoscowCSK",140,70,"68.18%",1.33,123.6,132.9,9.3,"62.27%","48.57%","57.50%",110
"Fenerbahce Beko IstanbulULK",141,70.5,"54.56%",1.05,131.9,105,-26.9,"50.00%","50.00%","33.33%",122
"Real MadridMAD",148,74,"63.48%",1.24,114.9,124.3,9.4,"58.73%","58.02%","40.00%",126
