"Teams","Pts","FGM2","FGA2","FGM3","FGA3","FTM","FTA","Tmp","TO","OR","OppPts","OppDefReb","AST"
"Anadolu Efes IstanbulIST",1514,371,639,187,461,211,265,"3600:00",211,139,1476,421,335
"AX Armani Exchange Olimpia MilanMIL",1337,326,588,148,373,241,304,"3025:00",163,154,1339,347,241
"Buducnost VOLI PodgoricaBUD",1092,313,645,104,308,154,216,"3000:00",184,146,1346,403,208
"CSKA MoscowCSK",1567,403,718,165,411,266,336,"3600:00",208,202,1467,384,331
"Darussafaka Tekfen IstanbulDAR",1072,310,602,95,321,167,228,"3000:00",231,160,1344,371,231
"FC Barcelona LassaBAR",1376,362,702,139,396,235,313,"3625:00",222,191,1442,427,304
"FC Bayern MunichMUN",1152,287,528,133,346,179,230,"3000:00",182,115,1232,347,243
"Fenerbahce Beko IstanbulULK",1406,329,579,172,392,232,286,"3475:00",202,145,1290,339,297
"Herbalife Gran CanariaCAN",1108,276,556,133,411,157,218,"3000:00",210,181,1353,393,246
"Khimki Moscow RegionKHI",1181,278,508,150,428,175,222,"3000:00",174,149,1259,368,274
"KIROLBET Baskonia Vitoria-GasteizBAS",1356,349,637,148,405,214,299,"3425:00",224,173,1428,394,294
"Maccabi FOX Tel AvivTEL",1157,305,586,132,397,151,215,"3000:00",181,187,1214,374,229
"Olympiacos PiraeusOLY",1103,291,571,115,330,176,230,"3000:00",193,169,1148,332,246
"Panathinaikos OPAP AthensPAN",1267,382,732,110,334,173,241,"3400:00",204,173,1345,412,269
"Real MadridMAD",1472,329,607,190,509,244,322,"3600:00",224,185,1404,423,341
"Zalgiris KaunasZAL",1289,348,679,100,285,293,354,"3450:00",225,149,1336,377,278
