"Teams","Possessions","Pace","TS","PPP","DRTG","ORTG","NRTG","eFG","FGM2P","FGM3P","FGA"
"CSKA MoscowCSK",149,74.5,"52.31%",1.07,114.8,107.4,-7.4,"48.51%","39.51%","41.51%",134
"Fenerbahce Dogus IstanbulULK",136,68,"58.81%",1.15,111.8,114.7,2.9,"55.46%","55.56%","36.84%",119
"Real MadridMAD",143,71.5,"61.12%",1.24,114,123.8,9.8,"56.58%","50.00%","43.75%",114
"Zalgiris KaunasZAL",138,69,"58.34%",1.06,110.9,105.8,-5.1,"54.33%","55.42%","33.33%",104
