"Teams","Possessions","Pace","TS","PPP","DRTG","ORTG","NRTG","eFG","FGM2P","FGM3P","FGA"
"Anadolu Efes IstanbulIST",1326,69.8,"62.66%",1.22,109.9,122.5,12.6,"59.20%","58.02%","40.57%",1174
"AX Armani Exchange Olimpia MilanMIL",1097,73.1,"58.47%",1.17,116.3,116.8,0.5,"52.87%","50.00%","37.78%",941
"Buducnost VOLI PodgoricaBUD",1032,68.8,"56.23%",1.1,116.7,110.3,-6.4,"53.29%","47.81%","42.32%",913
"CSKA MoscowCSK",1301,71.8,"60.05%",1.2,109.1,119.9,10.8,"53.91%","49.80%","41.42%",1100
"Darussafaka Tekfen IstanbulDAR",1079,71.9,"54.62%",1.08,114.2,108.1,-6.1,"50.53%","50.63%","33.55%",945
"FC Barcelona LassaBAR",1184,69.6,"58.13%",1.15,105.6,114.6,9,"54.90%","53.36%","38.50%",1030
"FC Bayern MunichMUN",1055,69.2,"59.69%",1.16,113,115.6,2.6,"55.99%","55.92%","37.42%",901
"Fenerbahce Beko IstanbulULK",1309,68.9,"64.34%",1.22,109.5,121.7,12.2,"60.82%","59.64%","41.78%",1095
"Herbalife Gran CanariaCAN",1120,74,"57.32%",1.09,114.3,109.3,-5,"53.48%","52.99%","36.16%",933
"Khimki Moscow RegionKHI",1062,70.2,"56.86%",1.1,112.6,109.6,-3,"53.20%","54.01%","34.87%",907
"KIROLBET Baskonia Vitoria-GasteizBAS",1237,72.8,"57.62%",1.14,105,113.7,8.7,"53.22%","53.19%","35.52%",1070
"Maccabi FOX Tel AvivTEL",1080,72,"56.54%",1.13,104.8,112.9,8.1,"53.63%","55.27%","34.04%",964
"Olympiacos PiraeusOLY",1083,71.6,"58.77%",1.14,107.1,113.9,6.8,"54.97%","55.59%","35.83%",906
"Panathinaikos OPAP AthensPAN",1176,72.9,"56.08%",1.14,106.5,113.9,7.4,"52.96%","55.12%","31.95%",1046
"Real MadridMAD",1250,73.5,"62.24%",1.23,106,122.6,16.6,"58.53%","59.10%","38.46%",1085
"Zalgiris KaunasZAL",1178,68.8,"61.83%",1.16,113.8,116,2.2,"57.20%","55.34%","41.07%",945
