"Teams","Possessions","Pace","TS","PPP","DRTG","ORTG","NRTG","eFG","FGM2P","FGM3P","FGA"
"Anadolu Efes IstanbulIST",137,68.5,"66.94%",1.27,109.5,127,17.5,"63.04%","61.40%","43.10%",115
"CSKA MoscowCSK",146,73,"58.26%",1.21,109.6,120.5,10.9,"54.14%","54.22%","36.00%",133
"FC Barcelona LassaBAR",196,65.3,"52.69%",1.09,115.8,108.7,-7.1,"51.56%","50.00%","36.36%",192
"Fenerbahce Beko IstanbulULK",128,64,"66.36%",1.29,108.6,128.9,20.3,"62.95%","58.93%","44.64%",112
"KIROLBET Baskonia Vitoria-GasteizBAS",142,71,"55.96%",1.03,114.1,102.8,-11.3,"53.36%","57.58%","32.08%",119
"Panathinaikos OPAP AthensPAN",147,73.5,"49.23%",0.92,104.1,91.8,-12.3,"46.46%","40.23%","40.00%",127
"Real MadridMAD",72,72,"62.46%",1.24,113.9,123.6,9.7,"59.68%","68.75%","33.33%",62
"Zalgiris KaunasZAL",135,67.5,"55.33%",0.93,115.6,92.6,-23,"51.53%","56.92%","27.27%",98
