"Teams","Possessions","Pace","TS","PPP","DRTG","ORTG","NRTG","eFG","FGM2P","FGM3P","FGA"
"Anadolu Efes IstanbulIST",1289,71.6,"62.22%",1.17,114.5,117.5,3,"59.23%","58.06%","40.56%",1100
"AX Armani Exchange Olimpia MilanMIL",1104,73,"61.06%",1.21,121.3,121.1,-0.2,"57.02%","55.44%","39.68%",961
"Buducnost VOLI PodgoricaBUD",1086,72.4,"52.10%",1.01,123.9,100.6,-23.3,"49.21%","48.53%","33.77%",953
"CSKA MoscowCSK",1283,71.3,"61.36%",1.22,114.3,122.1,7.8,"57.62%","56.13%","40.15%",1129
"Darussafaka Tekfen IstanbulDAR",1094,72.9,"52.38%",0.98,122.9,98,-24.9,"49.02%","51.50%","29.60%",923
"FC Barcelona LassaBAR",1267,69.9,"55.68%",1.09,113.8,108.6,-5.2,"51.96%","51.57%","35.10%",1098
"FC Bayern MunichMUN",1042,69.5,"59.06%",1.11,118.2,110.6,-7.6,"55.66%","54.36%","38.44%",874
"Fenerbahce Beko IstanbulULK",1154,66.4,"64.09%",1.22,111.8,121.8,10,"60.45%","56.82%","43.88%",971
"Herbalife Gran CanariaCAN",1092,72.8,"52.12%",1.01,123.9,101.5,-22.4,"49.17%","49.64%","32.36%",967
"Khimki Moscow RegionKHI",1059,70.6,"57.13%",1.12,118.9,111.5,-7.4,"53.74%","54.72%","35.05%",936
"KIROLBET Baskonia Vitoria-GasteizBAS",1225,71.5,"57.77%",1.11,116.6,110.7,-5.9,"54.80%","54.79%","36.54%",1042
"Maccabi FOX Tel AvivTEL",1072,71.5,"53.68%",1.08,113.2,107.9,-5.3,"51.17%","52.05%","33.25%",983
"Olympiacos PiraeusOLY",1026,68.4,"55.03%",1.08,111.9,107.5,-4.4,"51.44%","50.96%","34.85%",901
"Panathinaikos OPAP AthensPAN",1203,70.8,"54.05%",1.05,111.8,105.3,-6.5,"51.31%","52.19%","32.93%",1066
"Real MadridMAD",1297,72.1,"58.52%",1.13,108.2,113.5,5.3,"55.02%","54.20%","37.33%",1116
"Zalgiris KaunasZAL",1196,69.3,"57.56%",1.08,111.7,107.8,-3.9,"51.66%","51.25%","35.09%",964
