"Teams","Pts","FGM2","FGA2","FGM3","FGA3","FTM","FTA","Tmp","TO","OR","OppPts","OppDefReb","AST"
"Anadolu Efes IstanbulIST",223,61,127,20,61,41,59,"600:00",30,28,245,86,46
"Baskonia Vitoria GasteizBAS",172,36,58,23,57,31,38,"400:00",38,18,182,39,49
"CSKA MoscowCSK",90,25,45,6,17,22,26,"200:00",16,8,88,24,16
"Darussafaka Dogus IstanbulDAR",159,41,85,17,45,26,33,"400:00",22,23,163,45,20
"Fenerbahce IstanbulULK",151,36,67,24,44,7,11,"400:00",23,13,133,34,38
"Olympiacos PiraeusOLY",134,27,63,21,49,17,26,"400:00",28,16,126,50,30
"Panathinaikos Superfoods AthensPAN",61,18,38,5,24,10,15,"200:00",11,8,79,31,15
"Real MadridMAD",177,46,77,17,45,34,42,"400:00",21,19,159,45,39
