"Teams","Possessions","Pace","TS","PPP","DRTG","ORTG","NRTG","eFG","FGM2P","FGM3P","FGA"
"Anadolu Efes IstanbulIST",136,68,"43.36%",0.93,98.5,92.6,-5.9,"40.70%","48.91%","13.51%",129
"Baskonia Vitoria GasteizBAS",84,84,"53.22%",1.05,107.1,104.8,-2.3,"49.32%","43.75%","40.00%",73
"CSKA MoscowCSK",154,77,"62.59%",1.18,111.7,118.2,6.5,"54.62%","55.00%","35.90%",119
"Darussafaka Dogus IstanbulDAR",141,70.5,"59.08%",1.13,125.5,112.8,-12.7,"51.77%","60.00%","28.30%",113
"Fenerbahce IstanbulULK",71,71,"67.09%",1.11,85.9,111.3,25.4,"62.77%","50.00%","48.15%",47
"Olympiacos PiraeusOLY",217,72.3,"55.36%",1.13,102.8,112.9,10.1,"51.29%","48.36%","37.50%",194
"Panathinaikos Superfoods AthensPAN",128,64,"51.44%",1.04,118,103.9,-14.1,"47.79%","46.88%","32.65%",113
"Real MadridMAD",138,69,"56.90%",1.18,115.2,118.1,2.9,"54.07%","52.56%","37.78%",123
