"Teams","Pts","FGM2","FGA2","FGM3","FGA3","FTM","FTA","Tmp","TO","OR","OppPts","OppDefReb","AST","OppOffReb","OppFGM2","OppFGA2","OppFGM3","OppFGA3","OppFTM","OppFTA","OppMP","OppTO","BLK","DefReb","FLC","STL"
"CSKA MoscowCSK",160,32,81,22,53,30,43,"400:00",22,26,171,56,29,24,42,77,17,38,36,57,"400:00",32,8,43,52,12
"Fenerbahce Dogus IstanbulULK",156,45,81,14,38,24,31,"400:00",22,19,152,45,33,29,37,72,11,31,45,61,"400:00",32,5,32,54,17
"Real MadridMAD",177,33,66,21,48,48,70,"400:00",25,27,163,44,36,23,39,83,17,44,34,39,"400:00",25,8,53,48,14
"Zalgiris KaunasZAL",146,46,83,7,21,33,48,"400:00",39,26,153,31,29,22,38,79,19,47,20,35,"400:00",19,3,48,44,6
