"Teams","Possessions","Pace","TS","PPP","DRTG","ORTG","NRTG","eFG","FGM2P","FGM3P","FGA"
"Anadolu Efes IstanbulIST",1053,70.2,"53.75%",1.11,117.6,110.8,-6.8,"49.38%","48.82%","33.64%",965
"AX Armani Exchange Olimpia MilanMIL",1071,70.2,"57.86%",1.17,122,117.2,-4.8,"52.36%","49.74%","37.75%",934
"Brose BambergBAM",1050,70,"58.47%",1.13,113,112.9,-0.1,"54.04%","51.50%","38.96%",891
"Crvena Zvezda mts BelgradeRED",1046,69.7,"54.85%",1.16,114.7,116,1.3,"50.56%","49.92%","34.41%",983
"CSKA MoscowCSK",1372,71.7,"63.58%",1.26,112.5,126.3,13.8,"58.80%","53.51%","45.43%",1182
"FC Barcelona LassaBAR",1102,73.5,"57.40%",1.11,104.1,111.4,7.3,"55.01%","54.90%","36.78%",979
"Fenerbahce Dogus IstanbulULK",1241,68,"60.79%",1.18,109.3,118.5,9.2,"56.72%","55.11%","39.89%",1056
"Khimki Moscow RegionKHI",1212,71.3,"57.20%",1.09,107.2,109.3,2.1,"53.77%","53.65%","35.96%",1021
"KIROLBET Baskonia Vitoria GasteizBAS",1224,72,"61.32%",1.19,109.9,118.8,8.9,"58.00%","56.49%","40.25%",1044
"Maccabi FOX Tel AvivTEL",1096,73.1,"55.12%",1.12,110.9,112.2,1.3,"51.78%","51.48%","35.04%",985
"Olympiacos PiraeusOLY",1238,71.3,"57.45%",1.14,104,114,10,"52.54%","54.17%","33.16%",1042
"Panathinaikos Superfoods AthensPAN",1231,71.4,"59.38%",1.17,104.2,116.6,12.4,"56.65%","55.63%","38.75%",1053
"Real MadridMAD",1309,72.7,"61.18%",1.2,107.1,119.9,12.8,"56.57%","56.04%","38.22%",1096
"Unicaja MalagaMAL",1058,69.4,"55.53%",1.16,112.4,115.5,3.1,"51.53%","52.40%","33.33%",978
"Valencia BasketPAM",1050,68.9,"59.66%",1.16,112.4,116.1,3.7,"55.41%","53.50%","38.62%",905
"Zalgiris KaunasZAL",1156,68,"61.96%",1.21,116.3,121.4,5.1,"57.23%","55.24%","41.24%",968
