"Teams","Pts","FGM2","FGA2","FGM3","FGA3","FTM","FTA","Tmp","TO","OR","OppPts","OppDefReb","AST"
"Anadolu Efes IstanbulIST",1167,310,635,111,330,214,274,"3000:00",149,182,1238,368,250
"AX Armani Exchange Olimpia MilanMIL",1255,288,579,134,355,277,342,"3050:00",148,161,1307,364,245
"Brose BambergBAM",1185,291,565,127,326,222,278,"3000:00",169,132,1187,351,249
"Crvena Zvezda mts BelgradeRED",1213,305,611,128,372,219,279,"3000:00",136,196,1200,367,255
"CSKA MoscowCSK",1386,331,599,155,327,259,305,"3025:00",173,153,1194,297,303
"FC Barcelona LassaBAR",1228,336,612,135,367,151,206,"3000:00",182,150,1147,361,295
"Fenerbahce Dogus IstanbulULK",1217,318,586,119,299,224,288,"3050:00",177,154,1128,300,295
"Khimki Moscow RegionKHI",1158,273,515,141,395,189,262,"3000:00",190,154,1137,366,273
"KIROLBET Baskonia Vitoria GasteizBAS",1283,324,573,142,364,209,280,"3000:00",179,150,1170,332,310
"Maccabi FOX Tel AvivTEL",1230,366,711,96,274,210,297,"3000:00",166,186,1215,375,258
"Olympiacos PiraeusOLY",1254,322,584,108,334,286,378,"3050:00",172,166,1133,350,250
"Panathinaikos Superfoods AthensPAN",1258,299,550,148,383,216,314,"3050:00",156,145,1127,371,282
"Real MadridMAD",1315,306,548,146,380,265,338,"3000:00",173,155,1166,341,304
"Unicaja MalagaMAL",1222,327,624,118,354,214,278,"3050:00",160,202,1189,332,270
"Valencia BasketPAM",1219,275,514,151,391,216,265,"3050:00",173,145,1180,335,260
"Zalgiris KaunasZAL",1222,332,611,103,251,249,317,"3000:00",179,157,1193,291,306
