"Teams","Possessions","Pace","TS","PPP","DRTG","ORTG","NRTG","eFG","FGM2P","FGM3P","FGA"
"CSKA MoscowCSK",293,73.2,"58.51%",1.19,118.1,119.1,1,"51.02%","50.34%","34.69%",245
"Fenerbahce Dogus IstanbulULK",281,70.2,"64.52%",1.25,118.5,125.3,6.8,"59.31%","57.46%","41.24%",231
"Khimki Moscow RegionKHI",298,74.5,"62.12%",1.16,117.1,116.1,-1,"57.56%","55.74%","39.66%",238
"KIROLBET Baskonia Vitoria GasteizBAS",278,69.5,"63.15%",1.2,126.6,119.8,-6.8,"58.99%","56.03%","42.53%",228
"Olympiacos PiraeusOLY",284,68.8,"54.92%",1.08,118.3,108.5,-9.8,"48.92%","47.41%","34.02%",232
"Panathinaikos Superfoods AthensPAN",297,74.2,"58.69%",1.12,109.8,112.1,2.3,"56.55%","55.63%","38.61%",252
"Real MadridMAD",294,73.5,"57.82%",1.11,113.3,110.9,-2.4,"51.96%","51.41%","35.23%",230
"Zalgiris KaunasZAL",275,66.7,"62.86%",1.22,112,122.2,10.2,"57.78%","53.95%","43.84%",225
