"Teams","Pts","FGM2","FGA2","FGM3","FGA3","FTM","FTA","Tmp","TO","OR","OppPts","OppDefReb","AST"
"Anadolu Efes IstanbulIST",227,39,72,38,100,35,45,"600:00",23,23,213,70,52
"CSKA MoscowCSK",162,30,57,22,53,36,41,"400:00",29,17,146,41,31
"FC Barcelona LassaBAR",150,43,94,16,42,16,30,"400:00",18,32,174,53,30
"Fenerbahce Beko IstanbulULK",156,34,61,21,47,25,32,"400:00",23,7,125,46,32
"KIROLBET Baskonia Vitoria-GasteizBAS",160,38,75,15,41,39,58,"400:00",27,19,176,51,34
"Panathinaikos OPAP AthensPAN",82,21,43,9,21,13,16,"200:00",7,6,89,29,14
"Real MadridMAD",153,30,56,23,62,24,35,"400:00",24,13,135,56,39
"Zalgiris KaunasZAL",139,37,70,13,36,26,34,"400:00",29,21,165,36,29
