"Teams","Pts","FGM2","FGA2","FGM3","FGA3","FTM","FTA","Tmp","TO","OR","OppPts","OppDefReb","AST","OppOffReb","OppFGM2","OppFGA2","OppFGM3","OppFGA3","OppFTM","OppFTA","OppMP","OppTO","BLK","DefReb","FLC","STL"
"Anadolu Efes IstanbulIST",175,32,70,25,62,36,42,"400:00",19,31,164,46,25,14,38,74,20,43,28,34,"400:00",16,3,48,40,9
"CSKA MoscowCSK",186,34,70,23,40,49,60,"400:00",20,16,173,42,29,30,39,86,18,54,41,46,"400:00",17,4,54,44,5
"Fenerbahce Beko IstanbulULK",148,37,74,16,48,26,31,"400:00",16,11,186,59,35,18,40,65,25,53,31,39,"400:00",22,4,37,46,12
"Real MadridMAD",184,47,81,18,45,36,43,"400:00",20,17,170,45,46,13,33,70,19,45,47,57,"400:00",20,11,53,51,11
