"Teams","Pts","FGM2","FGA2","FGM3","FGA3","FTM","FTA","Tmp","TO","OR","OppPts","OppDefReb","AST","OppOffReb","OppFGM2","OppFGA2","OppFGM3","OppFGA3","OppFTM","OppFTA","OppMP","OppTO","BLK","DefReb","FLC","STL"
"Anadolu Efes IstanbulIST",2562,663,1126,297,729,345,421,"6000:00",355,248,2406,671,597,338,660,1240,245,693,351,458,"6000:00",355,87,714,539,191
"AX Armani Exchange Olimpia MilanMIL",2618,594,1124,301,778,527,655,"6025:00",340,329,2615,708,478,340,725,1316,255,651,400,529,"6025:00",327,65,692,601,193
"Buducnost VOLI PodgoricaBUD",2230,597,1239,239,627,319,441,"6000:00",355,297,2550,765,442,272,640,1099,280,714,430,568,"6000:00",332,81,648,651,173
"CSKA MoscowCSK",2603,659,1241,254,635,523,646,"6025:00",351,354,2408,644,526,322,613,1166,229,641,495,645,"6025:00",379,69,689,685,183
"Darussafaka Tekfen IstanbulDAR",2238,630,1234,200,634,378,506,"6000:00",418,335,2576,741,498,345,678,1250,256,678,452,576,"6000:00",335,106,679,643,177
"FC Barcelona LassaBAR",2370,613,1151,238,649,430,572,"6025:00",388,320,2291,669,519,282,535,1019,284,784,369,499,"6025:00",388,74,727,607,199
"FC Bayern MunichMUN",2372,613,1111,252,664,390,505,"6050:00",347,247,2424,692,527,302,633,1115,257,710,387,488,"6050:00",383,51,639,586,197
"Fenerbahce Beko IstanbulULK",2530,624,1057,288,667,418,520,"6075:00",350,247,2273,590,547,284,598,1099,222,633,411,555,"6075:00",373,69,673,605,198
"Herbalife Gran CanariaCAN",2332,577,1124,265,776,383,524,"6025:00",396,315,2633,772,520,308,703,1216,260,651,447,561,"6025:00",399,60,627,639,202
"Khimki Moscow RegionKHI",2345,534,982,301,861,374,487,"6025:00",353,290,2455,742,548,320,569,1046,261,679,534,667,"6025:00",416,90,616,674,228
"KIROLBET Baskonia Vitoria-GasteizBAS",2456,631,1169,257,708,423,556,"6025:00",383,335,2389,684,556,276,570,1085,276,737,421,543,"6025:00",377,68,739,595,198
"Maccabi FOX Tel AvivTEL",2376,630,1174,260,773,336,474,"6000:00",353,357,2346,735,475,280,615,1194,239,644,399,526,"6000:00",358,81,731,638,195
"Olympiacos PiraeusOLY",2337,624,1170,225,637,414,557,"6025:00",382,325,2308,665,529,278,616,1192,257,702,305,402,"6025:00",315,64,754,537,162
"Panathinaikos OPAP AthensPAN",2389,730,1335,185,586,374,538,"6025:00",334,332,2356,717,513,345,607,1161,234,673,440,581,"6025:00",416,83,684,644,212
"Real MadridMAD",2578,610,1081,309,814,431,554,"6000:00",350,307,2342,697,599,323,617,1240,248,717,364,472,"6000:00",330,88,800,566,172
"Zalgiris KaunasZAL",2391,642,1209,193,496,528,649,"6075:00",389,270,2355,625,541,293,592,1089,261,727,388,535,"6075:00",361,49,705,654,176
