"Player","G","GS","Min","Pts","FGM2","FGA2","FGM3","FGA3","FTM","FTA","O","D","T","As","St","To","Fv","Ag","Cm","Rv","PIR","Season","Team"
"MITROVIC, LUKA","16","5","219:29","67","25","47","3","8","8","15","17","33","50","11","3","16","3","4","26","19","73","2017-2018","Brose Bamberg"
"MUSLI, DEJAN","15","8","297:14","156","60","101","0","0","36","53","30","62","92","21","4","21","4","7","25","50","216","2017-2018","Brose Bamberg"
"NIKOLIC, ALEKSEJ","29","8","357:33","74","15","32","10","31","14","16","3","22","25","50","4","21","1","3","53","44","81","2017-2018","Brose Bamberg"
"OLINDE, LOUIS","15","2","114:42","32","8","12","1","8","13","15","4","17","21","4","3","9","0","1","21","11","27","2017-2018","Brose Bamberg"
"RADOSEVIC, LEON","28","19","580:12","202","79","148","0","1","44","55","31","63","94","21","7","32","11","6","62","58","212","2017-2018","Brose Bamberg"
"RUBIT, AUGUSTINE","30","17","650:24","304","99","182","7","19","85","107","66","76","142","28","22","35","9","8","85","103","363","2017-2018","Brose Bamberg"
"STAIGER, LUCCA","28","0","290:21","107","1","6","33","80","6","7","2","12","14","13","4","1","1","0","27","10","68","2017-2018","Brose Bamberg"
"TAYLOR, BRYCE","10","8","239:03","68","12","25","13","30","5","6","5","16","21","7","7","0","2","2","27","5","50","2017-2018","Brose Bamberg"
"WRIGHT, DORELL","27","22","696:50","314","52","124","54","128","48","55","24","123","147","45","24","27","12","10","49","43","346","2017-2018","Brose Bamberg"
"ZISIS, NIKOS","27","20","601:21","170","43","94","16","39","36","44","6","51","57","76","13","43","0","5","54","53","185","2017-2018","Brose Bamberg"
"CAUSEUR, FABIEN","29","29","732:51","287","75","120","33","95","38","49","15","78","93","63","23","42","2","11","62","84","319","2016-2017","Brose Bamberg"
"HARRIS, ELIAS","3","1","15:29","7","3","5","0","0","1","2","1","0","1","0","1","2","1","0","4","4","5","2016-2017","Brose Bamberg"
"HECKMANN, PATRICK","28","6","348:47","83","13","34","16","33","9","13","2","32","34","22","8","16","0","8","36","19","64","2016-2017","Brose Bamberg"
"LO, MAODO","26","2","282:55","139","34","68","21","50","8","12","1","29","30","32","7","26","3","11","25","23","105","2016-2017","Brose Bamberg"
"McNEAL, JEREL","15","0","225:24","59","14","26","8","26","7","11","10","18","28","17","11","16","1","4","39","12","35","2016-2017","Brose Bamberg"
"MELLI, NICOLO","30","30","876:43","346","92","172","36","83","54","73","38","184","222","69","22","51","20","4","77","106","507","2016-2017","Brose Bamberg"
"MILLER, DARIUS","30","19","814:10","366","66","127","62","151","48","54","7","75","82","61","18","45","13","5","87","54","301","2016-2017","Brose Bamberg"
"NIKOLIC, ALEKSEJ","10","1","103:40","33","5","12","4","14","11","11","2","6","8","18","6","7","0","1","18","16","38","2016-2017","Brose Bamberg"
"OLINDE, LOUIS","1","0","8:06","2","1","2","0","0","0","0","1","0","1","1","0","0","0","0","2","0","1","2016-2017","Brose Bamberg"
"RADOSEVIC, LEON","28","21","451:22","170","72","129","0","0","26","41","26","48","74","18","10","28","9","9","49","42","165","2016-2017","Brose Bamberg"
"STAIGER, LUCCA","19","4","124:14","74","1","2","24","48","0","0","3","14","17","4","3","4","0","0","16","5","58","2016-2017","Brose Bamberg"
"STRELNIEKS, JANIS","22","5","551:38","258","54","93","39","85","33","37","5","44","49","76","14","26","1","2","43","43","281","2016-2017","Brose Bamberg"
"THEIS, DANIEL","30","1","592:14","287","100","155","16","39","39","55","50","87","137","22","20","32","28","10","90","52","320","2016-2017","Brose Bamberg"
"VEREMEENKO, VLADIMIR","25","7","200:15","54","24","43","0","0","6","13","19","17","36","8","5","15","4","5","48","16","29","2016-2017","Brose Bamberg"
"ZISIS, NIKOS","30","24","722:12","232","48","110","21","73","73","80","6","53","59","136","16","52","0","7","62","92","293","2016-2017","Brose Bamberg"
