"Teams","Pts","FGM2","FGA2","FGM3","FGA3","FTM","FTA","Tmp","TO","OR","OppPts","OppDefReb","AST","OppOffReb","OppFGM2","OppFGA2","OppFGM3","OppFGA3","OppFTM","OppFTA","OppMP","OppTO","BLK","DefReb","FLC","STL"
"CSKA MoscowCSK",172,36,73,18,42,46,56,"400:00",21,20,152,45,28,29,27,66,20,59,38,50,"400:00",26,5,52,52,11
"Fenerbahce IstanbulULK",164,35,68,20,44,34,40,"400:00",24,20,139,39,44,19,27,66,20,52,25,31,"400:00",22,12,54,40,10
"Olympiacos PiraeusOLY",146,25,70,23,59,27,35,"400:00",19,29,158,54,33,21,29,69,19,41,43,53,"400:00",18,5,44,46,9
"Real MadridMAD",145,29,62,17,52,36,46,"400:00",29,19,178,52,29,19,42,72,19,45,37,43,"400:00",27,3,40,47,11
