"Teams","Pts","FGM2","FGA2","FGM3","FGA3","FTM","FTA","Tmp","TO","OR","OppPts","OppDefReb","AST"
"Anadolu Efes IstanbulIST",126,45,92,5,37,21,37,"400:00",19,28,134,57,34
"Baskonia Vitoria GasteizBAS",88,21,48,10,25,16,22,"200:00",18,17,90,28,36
"CSKA MoscowCSK",182,44,80,14,39,52,60,"400:00",28,19,172,45,32
"Darussafaka Dogus IstanbulDAR",159,36,60,15,53,42,49,"400:00",20,14,177,50,39
"Fenerbahce IstanbulULK",79,10,20,13,27,20,27,"200:00",19,7,61,20,31
"Olympiacos PiraeusOLY",245,59,122,27,72,46,62,"600:00",34,38,223,71,38
"Panathinaikos Superfoods AthensPAN",133,30,64,16,49,25,37,"400:00",21,22,151,44,37
"Real MadridMAD",163,41,78,17,45,30,46,"400:00",16,21,159,50,41
