"Teams","Pts","FGM2","FGA2","FGM3","FGA3","FTM","FTA","Tmp","TO","OR","OppPts","OppDefReb","AST","OppOffReb","OppFGM2","OppFGA2","OppFGM3","OppFGA3","OppFTM","OppFTA","OppMP","OppTO","BLK","DefReb","FLC","STL"
"Anadolu Efes IstanbulIST",349,106,219,25,98,62,96,"1000:00",49,56,379,143,71,54,86,185,48,121,63,88,"1000:00",62,19,121,111,30
"Baskonia Vitoria GasteizBAS",260,57,106,33,82,47,60,"600:00",56,35,272,67,68,27,69,125,20,56,74,86,"600:00",44,8,69,79,22
"CSKA MoscowCSK",272,69,125,20,56,74,86,"600:00",44,27,260,69,56,35,57,106,33,82,47,60,"600:00",56,9,67,74,26
"Darussafaka Dogus IstanbulDAR",318,77,145,32,98,68,82,"800:00",42,37,340,95,45,40,87,155,34,90,64,88,"800:00",37,10,95,91,15
"Fenerbahce IstanbulULK",230,46,87,37,71,27,38,"600:00",42,20,194,54,54,30,48,102,21,73,35,52,"600:00",32,16,75,62,14
"Olympiacos PiraeusOLY",379,86,185,48,121,63,88,"1000:00",62,54,349,121,76,56,106,219,25,98,62,96,"1000:00",49,18,143,106,27
"Panathinaikos Superfoods AthensPAN",194,48,102,21,73,35,52,"600:00",32,30,230,75,39,20,46,87,37,71,27,38,"600:00",42,3,54,60,21
"Real MadridMAD",340,87,155,34,90,64,88,"800:00",37,40,318,95,80,37,77,145,32,98,68,82,"800:00",42,13,95,91,20
