"Teams","Possessions","Pace","TS","PPP","DRTG","ORTG","NRTG","eFG","FGM2P","FGM3P","FGA"
"Anadolu Efes IstanbulIST",216,72,"52.11%",1.03,113.4,103.2,-10.2,"48.40%","48.03%","32.79%",188
"Baskonia Vitoria GasteizBAS",152,76,"65.29%",1.13,119.7,113.2,-6.5,"61.30%","62.07%","40.35%",115
"CSKA MoscowCSK",81,81,"61.27%",1.11,108.6,111.1,2.5,"54.84%","55.56%","35.29%",62
"Darussafaka Dogus IstanbulDAR",144,72,"55.01%",1.1,113.2,110.4,-2.8,"51.15%","48.24%","37.78%",130
"Fenerbahce IstanbulULK",126,63,"65.18%",1.2,105.6,119.8,14.2,"64.86%","53.73%","54.55%",111
"Olympiacos PiraeusOLY",135,67.5,"54.28%",0.99,93.3,99.3,6,"52.23%","42.86%","42.86%",112
"Panathinaikos Superfoods AthensPAN",72,72,"44.46%",0.85,109.7,84.7,-25,"41.13%","47.37%","20.83%",62
"Real MadridMAD",142,71,"63.00%",1.25,112,124.6,12.6,"58.61%","59.74%","37.78%",122
