"Teams","Possessions","Pace","TS","PPP","DRTG","ORTG","NRTG","eFG","FGM2P","FGM3P","FGA"
"Anadolu Efes IstanbulIST",352,70.4,"48.57%",0.99,107.7,99.1,-8.6,"45.27%","48.40%","25.51%",317
"Baskonia Vitoria GasteizBAS",235,78.3,"60.63%",1.11,115.7,110.6,-5.1,"56.65%","53.77%","40.24%",188
"CSKA MoscowCSK",236,78.7,"62.15%",1.15,110.2,115.3,5.1,"54.70%","55.20%","35.71%",181
"Darussafaka Dogus IstanbulDAR",284,71,"56.97%",1.12,119.7,112,-7.7,"51.44%","53.10%","32.65%",243
"Fenerbahce IstanbulULK",197,65.7,"65.82%",1.17,98.5,116.8,18.3,"64.24%","52.87%","52.11%",158
"Olympiacos PiraeusOLY",353,70.6,"54.97%",1.07,98.9,107.4,8.5,"51.63%","46.49%","39.67%",306
"Panathinaikos Superfoods AthensPAN",200,66.7,"49.02%",0.97,115,97,-18,"45.43%","47.06%","28.77%",175
"Real MadridMAD",281,70.2,"59.92%",1.21,113.2,121,7.8,"56.33%","56.13%","37.78%",245
