"Teams","Pts","FGM2","FGA2","FGM3","FGA3","FTM","FTA","Tmp","TO","OR","OppPts","OppDefReb","AST","OppOffReb","OppFGM2","OppFGA2","OppFGM3","OppFGA3","OppFTM","OppFTA","OppMP","OppTO","BLK","DefReb","FLC","STL"
"ALBA BerlinBER",2365,529,1062,291,735,434,539,"5750:00",389,318,2481,675,547,294,626,1086,270,688,419,523,"5750:00",400,60,614,578,191
"Anadolu Efes IstanbulIST",2443,567,993,309,734,382,444,"5625:00",320,252,2176,605,494,310,542,1045,270,749,282,359,"5625:00",357,67,675,466,202
"AX Armani Exchange MilanMIL",2187,522,1059,252,665,387,495,"5650:00",325,251,2266,713,442,298,559,1076,247,689,407,520,"5650:00",314,78,687,595,146
"Crvena Zvezda mts BelgradeRED",2094,540,1105,207,599,393,518,"5675:00",371,307,2149,681,435,289,518,984,230,691,423,562,"5675:00",375,71,660,606,194
"CSKA MoscowCSK",2334,506,1004,307,784,401,515,"5650:00",367,329,2155,667,464,285,526,1066,234,673,401,538,"5650:00",351,81,729,580,186
"FC BarcelonaBAR",2357,551,1026,278,711,421,535,"5600:00",371,290,2193,641,532,275,510,975,280,767,333,444,"5600:00",404,57,696,549,190
"FC Bayern MunichMUN",2069,536,1062,218,564,343,453,"5625:00",420,258,2285,633,466,304,550,987,264,730,393,499,"5625:00",357,62,610,581,179
"Fenerbahce Beko IstanbulULK",2186,512,949,265,659,367,463,"5650:00",376,222,2218,617,493,294,561,1004,240,655,376,485,"5650:00",375,45,591,573,177
"Khimki Moscow RegionKHI",2395,548,965,312,804,363,451,"5625:00",362,266,2393,654,550,315,610,1111,258,679,399,539,"5625:00",343,78,645,613,181
"KIROLBET Baskonia Vitoria-GasteizBAS",2059,548,1067,208,636,339,477,"5600:00",400,321,2155,655,389,267,499,953,268,706,353,451,"5600:00",388,91,647,574,192
"LDLC ASVEL VilleurbanneASV",2082,541,1078,214,638,358,470,"5625:00",351,301,2291,688,456,261,586,1065,227,551,438,589,"5625:00",359,82,584,641,154
"Maccabi FOX Tel AvivTEL",2308,564,1040,278,742,346,476,"5625:00",364,288,2166,685,479,282,481,1000,250,697,454,598,"5625:00",392,64,719,635,217
"Olympiacos PiraeusOLY",2267,574,1028,233,652,420,575,"5675:00",376,279,2310,643,478,267,538,1056,281,700,391,490,"5675:00",334,59,703,565,176
"Panathinaikos OPAP AthensPAN",2439,661,1191,231,662,424,550,"5700:00",321,303,2432,690,500,340,569,1097,299,781,397,521,"5700:00",340,86,700,568,185
"Real MadridMAD",2371,542,969,302,780,381,484,"5600:00",349,277,2165,645,555,281,536,1105,250,654,343,431,"5600:00",354,113,710,521,177
"Valencia BasketPAM",2284,525,978,271,754,421,538,"5650:00",333,313,2305,655,481,255,576,1020,279,726,316,398,"5650:00",330,43,643,497,174
"Zalgiris KaunasZAL",2257,551,1026,246,644,417,505,"5700:00",350,300,2194,586,478,299,541,1003,237,660,401,519,"5700:00",357,47,615,602,156
"Zenit St PetersburgDYR",2098,544,1029,236,714,302,433,"5675:00",383,339,2261,664,520,298,533,998,274,681,373,455,"5675:00",398,68,569,553,204
